Age,Annual_Income_k,Spending_Score,Visit_Frequency,High_Value_Purchase
56,51,24,3,0
69,138,80,18,1
46,28,2,12,0
32,124,92,1,1
60,118,32,12,1
25,38,91,5,0
38,67,84,17,1
56,99,24,16,1
36,22,12,15,0
40,39,50,15,0
28,43,35,5,0
28,73,33,14,1
41,139,33,2,0
53,52,61,11,0
57,43,51,19,1
41,135,43,7,1
20,94,12,6,0
39,132,67,2,1
19,91,65,6,1
41,55,33,18,1
61,57,40,2,0
47,123,74,18,1
55,103,43,15,1
19,118,44,19,1
38,131,29,2,0
50,108,13,6,0
29,118,12,1,0
39,44,95,15,1
61,112,46,10,1
42,37,2,19,0
66,129,35,17,1
44,101,87,5,1
59,85,81,4,0
45,73,90,10,1
33,54,8,17,0
32,99,93,10,1
64,80,26,17,1
68,60,74,5,0
61,119,90,2,1
69,52,34,6,0
20,87,7,2,0
54,52,68,13,1
68,33,58,11,0
24,40,75,11,1
38,67,29,16,1
26,39,36,11,0
56,139,89,19,1
35,27,21,15,0
21,26,36,16,0
42,86,10,11,0
31,36,73,16,1
67,52,24,8,0
26,67,64,4,0
43,95,99,8,1
19,78,49,4,0
37,134,99,3,1
45,105,36,3,0
64,138,82,18,1
24,41,96,19,1
61,129,24,19,1
25,49,23,5,0
64,57,62,18,1
52,121,96,10,1
31,128,37,6,1
34,70,12,1,0
53,73,55,5,0
67,27,13,9,0
57,46,23,12,0
21,46,89,14,1
19,117,99,2,1
23,40,30,17,0
59,49,17,14,0
21,116,62,13,1
46,47,84,9,1
35,130,89,15,1
43,83,86,15,1
61,116,13,11,0
51,88,59,16,1
27,80,19,17,1
53,67,49,4,0
31,38,12,1,0
48,23,61,8,0
65,54,19,17,0
32,83,76,3,0
25,68,9,15,0
31,36,71,15,1
40,63,28,14,0
57,111,78,14,1
38,49,95,2,0
33,112,52,13,1
62,65,83,14,1
35,136,16,19,1
64,25,69,7,0
41,118,99,3,1
43,124,12,15,1
42,56,25,14,0
62,43,52,11,0
58,112,85,15,1
46,132,53,13,1
32,65,23,18,1
62,72,16,6,0
18,114,57,3,1
42,118,39,19,1
24,79,53,15,1
26,116,42,5,1
41,135,58,10,1
18,82,39,7,0
61,104,14,17,1
25,51,95,7,1
41,106,5,12,0
28,52,35,17,1
68,86,87,13,1
34,37,93,4,0
25,44,75,10,1
52,125,18,3,0
52,114,76,9,1
50,73,9,13,0
22,77,74,18,1
59,86,58,15,1
56,123,17,4,0
58,65,7,15,0
45,43,46,2,0
24,133,13,15,1
26,51,40,8,0
25,66,42,8,0
29,105,9,17,1
51,42,50,12,0
50,85,27,19,1
65,46,66,10,0
40,125,5,9,0
41,21,29,5,0
54,109,37,6,0
52,36,38,2,0
61,123,83,13,1
57,52,8,6,0
39,28,65,5,0
44,62,86,1,0
52,137,17,6,0
18,67,71,6,1
52,58,89,16,1
54,112,45,4,0
64,61,4,11,0
31,138,36,9,1
20,45,70,3,0
18,118,31,19,1
22,69,19,8,0
43,44,61,5,0
31,43,54,4,0
56,32,39,6,0
44,79,91,2,1
26,26,74,11,0
32,76,90,4,1
32,55,19,15,0
43,64,39,6,0
59,39,67,17,1
30,84,45,6,0
68,27,13,19,0
49,129,92,2,1
56,35,58,15,0
66,33,20,11,0
