movie_title,mcu_phase,release_date,tomato_meter,audience_score,movie_duration,production_budget,opening_weekend,domestic_box_office,worldwide_box_office
Iron Man,Phase 1,2008-05-02,94,91,126,140000000,102118668,319034126,585796247
The Incredible Hulk,Phase 1,2008-06-13,67,70,112,137500000,55414050,134806913,265573859
Iron Man 2,Phase 1,2010-05-07,72,71,124,200000000,128122480,312433331,621156389
Thor,Phase 1,2011-05-06,77,76,114,150000000,65723338,181030624,449326618
Captain America The First Avenger,Phase 1,2011-07-22,80,75,124,140000000,65058524,176654505,370569774
The Avengers,Phase 1,2012-05-04,91,91,143,220000000,207438708,623357910,1518812988
Iron Man 3,Phase 2,2013-05-03,79,78,130,200000000,174144585,409013994,1214811252
Thor The Dark World,Phase 2,2013-11-08,66,75,112,170000000,85737841,206362140,644602516
Captain America The Winter Soldier,Phase 2,2014-04-04,90,92,136,170000000,95023721,259766572,714421503
Guardians of the Galaxy,Phase 2,2014-08-01,91,92,121,170000000,94307658,333176600,773350147
Avengers Age of Ultron,Phase 2,2015-05-01,76,82,141,365000000,191271109,459005868,1395316979
Ant-Man,Phase 2,2015-07-17,83,85,117,130000000,57225526,180202163,519311965
Captain America Civil War,Phase 3,2016-05-06,90,89,147,250000000,179139142,408084349,1153296293
Doctor Strange,Phase 3,2016-11-04,89,86,115,165000000,85158311,232641920,677796076
Guardians of the Galaxy Vol. 2,Phase 3,2017-05-05,85,87,136,200000000,146510104,389813101,869122246
Spider-Man Homecoming,Phase 3,2017-07-07,92,87,133,175000000,117027503,334201140,880166924
Thor Ragnarok,Phase 3,2017-11-03,93,87,130,180000000,122744989,315058289,855301806
Black Panther,Phase 3,2018-02-16,96,79,134,200000000,202003951,700426566,1353282444
Avengers Infinity War,Phase 3,2018-04-27,85,91,149,325000000,257698183,678815482,2052415039
Ant-Man and the Wasp,Phase 3,2018-07-06,87,80,118,162000000,75812205,216648740,622674139
Captain Marvel,Phase 3,2019-03-08,79,45,123,175000000,153433423,426829839,1131934225
Avengers Endgame,Phase 3,2019-04-26,94,90,181,356000000,357115007,858373000,2799439100
Spider-Man Far From Home,Phase 3,2019-07-02,91,95,129,160000000,92579212,390532085,1131927996
Black Widow,Phase 4,2021-07-09,79,91,134,200000000,80366312,183651655,379751655
Shang-Chi and the Legend of the Ten Rings,Phase 4,2021-09-03,92,98,132,150000000,75388688,224543292,432243292
Eternals,Phase 4,2021-11-05,47,77,156,236000000,71297219,164870234,402064899
Spider-Man No Way Home,Phase 4,2021-12-17,93,97,148,200000000,260138569,804793477,1922560366
Doctor Strange in the Multiverse of Madness,Phase 4,2022-05-06,73,85,126,200000000,187420998,411331607,955775804
Thor Love and Thunder,Phase 4,2022-07-08,63,76,118,250000000,144165107,343256830,760928081
Black Panther Wakanda Forever,Phase 4,2022-11-11,84,95,161,250000000,181339761,453829060,859208836
Ant-Man and the Wasp Quantumania,Phase 5,2023-02-17,46,82,125,200000000,106109650,214504909,476071180
Guardians of the Galaxy Vol. 3,Phase 5,2023-05-05,82,94,150,250000000,118414021,358995815,845555777
The Marvels,Phase 5,2023-11-10,62,80,105,270000000,46110859,84500223,206136825
Deadpool & Wolverine,Phase 5,2024-07-26,77,94,128,200000000,211435291,636745858,1338073645
Captain America Brave New World,Phase 5,2025-02-14,48,78,118,180000000,88842603,200500001,415101577
Thunderbolts,Phase 5,2025-05-02,88,91,127,180000000,74300608,190274328,382436917
The Fantastic Four First Steps,Phase 6,2025-07-25,86,90,114,200000000,117644828,274286610,521858728
Spider-Man Brand New Day,Phase 6,2026-07-31,89,93,136,225000000,360091572,858400177,2224515513
WandaVision,Phase 4,2021-01-15,91,88,NA,NA,NA,NA,NA
The Falcon and the Winter Soldier,Phase 4,2021-03-19,86,81,NA,NA,NA,NA,NA
Loki,Phase 4,2021-06-09,92,90,NA,NA,NA,NA,NA
What If...,Phase 4,2021-08-11,94,93,NA,NA,NA,NA,NA
Hawkeye,Phase 4,2021-11-24,92,88,NA,NA,NA,NA,NA
Moon Knight,Phase 4,2022-03-30,86,89,NA,NA,NA,NA,NA
Ms. Marvel,Phase 4,2022-06-08,98,80,NA,NA,NA,NA,NA
She-Hulk Attorney-at-Law,Phase 4,2022-08-18,77,32,NA,NA,NA,NA,NA
Secret Invasion,Phase 5,2023-06-21,53,44,NA,NA,NA,NA,NA
Loki Season 2,Phase 5,2023-10-05,82,86,NA,NA,NA,NA,NA
What If... Season 2,Phase 5,2023-12-22,87,76,NA,NA,NA,NA,NA
Echo,Phase 5,2024-01-09,70,61,NA,NA,NA,NA,NA
X-Men '97,Phase 5,2024-03-20,99,91,NA,NA,NA,NA,NA
Agatha All Along,Phase 5,2024-09-18,83,81,NA,NA,NA,NA,NA
Your Friendly Neighborhood Spider-Man,Phase 5,2025-01-29,97,62,NA,NA,NA,NA,NA
Daredevil Born Again,Phase 5,2025-03-04,86,88,NA,NA,NA,NA,NA
Ironheart,Phase 5,2025-06-24,76,46,NA,NA,NA,NA,NA
Eyes of Wakanda,Phase 5,2025-08-06,92,51,NA,NA,NA,NA,NA
