student_id,study_hours,attendance,assignments,result
1,1.0,58,3,0
2,1.5,62,5,0
3,2.0,65,6,0
4,2.5,68,7,1
5,3.0,72,7,1
6,3.5,75,8,1
7,4.0,78,9,1
8,4.5,82,9,1
9,5.0,85,10,1
10,0.5,45,2,0
11,1.2,55,4,0
12,2.2,70,6,1
13,2.8,66,8,1
14,3.2,60,9,1
15,0.8,72,3,0
16,4.2,74,8,1
17,5.5,88,10,1
18,1.8,80,5,0
19,3.8,69,9,1
20,2.0,50,7,0
21,4.8,77,8,1
22,1.0,90,4,0
23,2.6,73,7,1
24,3.0,64,8,1
25,0.7,61,5,0
26,5.0,70,9,1
27,1.7,67,6,0
28,3.6,83,8,1
29,2.4,76,5,0
30,4.4,79,10,1
31,1.3,69,5,0
32,3.1,81,7,1
33,2.1,58,8,0
34,4.0,86,8,1
35,0.9,52,6,0
36,3.7,74,7,1
37,2.9,71,8,1
38,1.4,78,4,0
39,4.6,84,9,1
40,2.7,63,7,0
41,3.4,73,8,1
42,1.1,65,5,0
43,4.9,80,10,1
44,2.3,69,6,0
45,3.9,76,9,1
46,1.6,82,4,0
47,4.1,68,9,1
48,2.5,57,8,0
49,3.3,75,7,1
50,0.6,48,3,0
51,4.7,88,9,1
52,2.2,62,8,0
53,3.5,79,8,1
54,1.9,71,6,0
55,5.2,83,10,1
56,2.8,59,7,0
57,3.0,77,9,1
58,1.5,74,5,0
59,4.3,82,9,1
60,2.6,68,6,0
